DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,VWAP_CHANGE_0,OUTPUTVWAP_CHANGE_0
8/3/11,8.36,8.38,8.31,8.34,7.1644862E7,5.9765252E8,-0.004604036371951535,-0.009912538788923793
8/4/11,8.31,8.35,8.19,8.29,8.2431224E7,6.8081484E8,-0.009912538788923793,0.004974497925045052
8/5/11,8.3,8.34,8.25,8.27,8.0017463E7,6.6416668E8,0.004974497925045052,0.01395881968654239
8/6/11,8.31,8.53,8.29,8.47,1.34216053E8,1.12958024E9,0.01395881968654239,0.004135924978129168
8/7/11,8.47,8.48,8.42,8.46,5.021296E7,4.2434682E8,0.004135924978129168,0.003845026728916181
8/8/11,8.47,8.54,8.43,8.49,4.7008304E7,3.9879195E8,0.003845026728916181,0.00675948700778382
8/9/11,8.54,8.61,8.48,8.5,5.0000107E7,4.2703991E8,0.00675948700778382,-0.011222205748536317
8/10/11,8.51,8.51,8.4,8.44,3.9423884E7,3.3293208E8,-0.011222205748536317,-0.0035432416771855563
8/11/11,8.42,8.48,8.34,8.35,5.2706596E7,4.4352659E8,-0.0035432416771855563,-0.03971972576974482
8/12/11,8.07,8.12,8.03,8.06,3.9982538E7,3.2308966E8,-0.03971972576974482,-0.002223181416382534
8/13/11,8.06,8.09,8.03,8.05,2.6966055E7,2.1742202E8,-0.002223181416382534,-0.003483870408811307
8/14/11,8.05,8.07,8.01,8.01,2.8876449E7,2.3201402E8,-0.003483870408811307,0.0075455053835542995
8/15/11,8.04,8.16,8.02,8.13,5.0974236E7,4.1265379E8,0.0075455053835542995,-0.0018893212197680137
8/16/11,8.15,8.15,8.05,8.09,4.3691987E7,3.5303325E8,-0.0018893212197680137,0.003211064660538516
8/17/11,8.09,8.15,8.07,8.09,4.0080965E7,3.2489595E8,0.003211064660538516,0.0023825964381038378
8/18/11,8.1,8.18,8.08,8.12,3.9552477E7,3.2137592E8,0.0023825964381038378,-0.006391568058327317
8/19/11,8.11,8.12,8.05,8.07,3.3635896E7,2.7155507E8,-0.006391568058327317,-0.019105550739970285
8/20/11,7.92,7.97,7.88,7.97,1.15797069E8,9.1701145E8,-0.019105550739970285,-0.016432011227164103
8/21/11,7.93,7.94,7.65,7.67,1.06535413E8,8.2980409E8,-0.016432011227164103,-0.01043113996016188
8/22/11,7.67,7.76,7.66,7.7,4.5089773E7,3.4754068E8,-0.01043113996016188,-1.559983500500377E-4
8/23/11,7.69,7.74,7.67,7.71,3.2425638E7,2.4988971E8,-1.559983500500377E-4,-0.009312349124592589
8/24/11,7.71,7.72,7.58,7.67,1.00909326E8,7.7042062E8,-0.009312349124592589,0.012274782221537796
8/25/11,7.66,7.79,7.64,7.73,4.5202381E7,3.4934644E8,0.012274782221537796,-0.0055384513367868265
8/26/11,7.75,7.75,7.62,7.63,4.6584899E7,3.5803721E8,-0.0055384513367868265,-9.453830722489188E-5
8/27/11,7.65,7.73,7.62,7.69,3.0224255E7,2.3227237E8,-9.453830722489188E-5,-0.0065681219825963885
