DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,VWAP_0,OUTPUTVWAP_0
5/11/11,9.32,9.36,9.18,9.24,5.1391402E7,4.7594576E8,9.2611943141773,9.379022798205286
5/12/11,9.23,9.48,9.23,9.45,6.4270717E7,6.0279652E8,9.379022798205286,9.415594436026328
5/13/11,9.45,9.48,9.36,9.4,5.0273854E7,4.7335822E8,9.415594436026328,9.395880947798778
5/14/11,9.36,9.48,9.32,9.37,5.1836488E7,4.8704947E8,9.395880947798778,9.275723511322008
5/15/11,9.25,9.37,9.18,9.27,4.9204966E7,4.5641166E8,9.275723511322008,9.185298128695047
5/16/11,9.24,9.28,9.13,9.19,5.3024869E7,4.8704923E8,9.185298128695047,9.216626931634678
5/17/11,9.16,9.29,9.14,9.23,5.506476E7,5.0751135E8,9.216626931634678,9.210052444540048
5/18/11,9.25,9.28,9.14,9.19,4.7501799E7,4.3749406E8,9.210052444540048,9.26126885249012
5/19/11,9.25,9.31,9.2,9.26,4.1743292E7,3.8659585E8,9.26126885249012,9.339206718862826
5/20/11,9.41,9.41,9.25,9.26,5.7740009E7,5.3924588E8,9.339206718862826,9.259778415827384
5/21/11,9.27,9.31,9.2,9.28,4.2757386E7,3.9592392E8,9.259778415827384,9.278734020898542
5/22/11,9.28,9.36,9.2,9.32,8.144779E7,7.5573238E8,9.278734020898542,9.326031388701676
5/23/11,9.32,9.4,9.28,9.33,8.7754888E7,8.1840484E8,9.326031388701676,9.410770916843388
5/24/11,9.35,9.53,9.31,9.51,1.28341832E8,1.20779558E9,9.410770916843388,9.524881948515528
5/25/11,9.57,9.62,9.45,9.48,1.26664015E8,1.20645979E9,9.524881948515528,9.613012044935573
5/26/11,9.48,9.7,9.46,9.66,1.3612111E8,1.30853387E9,9.613012044935573,9.584463621332471
5/27/11,9.67,9.67,9.51,9.54,7.7757837E7,7.4526716E8,9.584463621332471,9.546273630090385
5/28/11,9.5,9.59,9.49,9.55,4.6237868E7,4.4139934E8,9.546273630090385,9.61778540897043
5/29/11,9.55,9.7,9.54,9.69,7.4013187E7,7.1184295E8,9.61778540897043,9.659279735017842
5/30/11,9.74,9.75,9.58,9.58,6.6098035E7,6.3845941E8,9.659279735017842,9.505130397059299
5/31/11,9.53,9.61,9.41,9.44,6.8450355E7,6.5062955E8,9.505130397059299,9.3900004810362
6/1/11,9.39,9.44,9.33,9.34,5.1077237E7,4.7961528E8,9.3900004810362,9.430110793369119
6/2/11,9.39,9.5,9.37,9.46,5.4828552E7,5.1703932E8,9.430110793369119,9.457251145383628
6/3/11,9.47,9.51,9.42,9.47,4.7510501E7,4.4931874E8,9.457251145383628,9.37360491415018
6/4/11,9.44,9.45,9.33,9.38,5.2784386E7,4.9477998E8,9.37360491415018,9.474645105050207
6/5/11,9.39,9.53,9.35,9.47,6.143015E7,5.8202887E8,9.474645105050207,9.476727114933482
6/6/11,9.53,9.61,9.32,9.36,9.9280321E7,9.4085251E8,9.476727114933482,9.360758726553259
6/7/11,9.36,9.45,9.16,9.19,7.0673894E7,6.6156127E8,9.360758726553259,9.26235541295468
6/8/11,9.25,9.34,9.2,9.25,7.2584563E7,6.7230402E8,9.26235541295468,9.285566331918691
6/9/11,9.26,9.32,9.24,9.28,5.0228036E7,4.6639576E8,9.285566331918691,9.170430256391747
6/10/11,9.25,9.26,9.12,9.12,6.2725576E7,5.7522052E8,9.170430256391747,9.092089854331439
6/11/11,9.18,9.19,9.02,9.08,5.186706E7,4.7157997E8,9.092089854331439,9.113590453615188
6/12/11,9.09,9.21,9.03,9.12,3.8651197E7,3.5225118E8,9.113590453615188,9.07119700872576
6/13/11,9.1,9.12,9.02,9.06,3.5268448E7,3.1992704E8,9.07119700872576,9.10999986970529
6/14/11,9.05,9.17,9.05,9.13,3.3692849E7,3.0694185E8,9.10999986970529,9.123594595862045
6/15/11,9.15,9.17,9.08,9.12,2.729464E7,2.4902523E8,9.123594595862045,9.05999399935366
6/16/11,9.12,9.14,8.93,8.97,4.3565307E7,3.9470142E8,9.05999399935366,8.928626906239463
6/17/11,8.94,9.0,8.85,8.87,4.8391415E7,4.3206889E8,8.928626906239463,8.921972501558304
6/18/11,8.92,8.97,8.88,8.93,5.0587012E7,4.5133593E8,8.921972501558304,8.871732123955729
6/19/11,8.9,8.95,8.81,8.93,7.6352001E7,6.773745E8,8.871732123955729,8.899732705772001
6/20/11,8.93,8.96,8.84,8.94,5.6682481E7,5.0445893E8,8.899732705772001,8.877099652081977
6/21/11,8.89,8.94,8.83,8.84,3.4889828E7,3.0972048E8,8.877099652081977,8.839749485015616
6/22/11,8.86,8.93,8.78,8.92,4.5147E7,3.9908817E8,8.839749485015616,8.896338596109954
6/23/11,8.87,8.95,8.85,8.89,3.9397074E7,3.5048971E8,8.896338596109954,9.01292369339763
6/24/11,8.89,9.14,8.87,9.12,6.4571634E7,5.8197921E8,9.01292369339763,9.092553401870607
6/25/11,9.11,9.15,9.02,9.14,6.1175666E7,5.5624301E8,9.092553401870607,9.075872674511984
6/26/11,9.08,9.12,9.04,9.06,3.8614798E7,3.5046299E8,9.075872674511984,8.983776759359067
6/27/11,9.06,9.09,8.93,8.93,4.9466011E7,4.443916E8,8.983776759359067,9.04514020756581
6/28/11,8.93,9.14,8.92,9.12,6.711799E7,6.0709163E8,9.04514020756581,9.109729830061045
6/29/11,9.1,9.16,9.06,9.12,4.8488E7,4.4171258E8,9.109729830061045,9.244922973709437
6/30/11,9.1,9.32,9.09,9.31,7.7240835E7,7.1408557E8,9.244922973709437,9.267985845191388
7/1/11,9.27,9.33,9.21,9.24,4.1839068E7,3.8776389E8,9.267985845191388,9.416566114041888
7/2/11,9.23,9.55,9.22,9.38,1.13165453E8,1.06562997E9,9.416566114041888,9.373507573219905
7/3/11,9.34,9.44,9.33,9.35,6.6489024E7,6.2323537E8,9.373507573219905,9.361804097487548
7/4/11,9.42,9.46,9.3,9.37,5.3826936E7,5.0391723E8,9.361804097487548,9.405757101566374
7/5/11,9.39,9.45,9.35,9.41,4.7114993E7,4.4315218E8,9.405757101566374,9.503441935210583
7/6/11,9.48,9.59,9.41,9.56,1.07696972E8,1.02349192E9,9.503441935210583,9.483827917980618
7/7/11,9.51,9.55,9.42,9.46,6.0560075E7,5.7434133E8,9.483827917980618,9.450631463413314
7/8/11,9.47,9.5,9.39,9.49,7.1659892E7,6.7723123E8,9.450631463413314,9.406751655226959
7/9/11,9.43,9.48,9.34,9.42,8.2225733E7,7.7347705E8,9.406751655226959,9.342958437408052
7/10/11,9.41,9.42,9.28,9.36,8.6721348E7,8.1023395E8,9.342958437408052,9.235572689785572
7/11/11,9.3,9.31,9.18,9.2,6.5066893E7,6.0093002E8,9.235572689785572,9.165911445757263
7/12/11,9.21,9.24,9.11,9.16,6.7576254E7,6.1939796E8,9.165911445757263,9.170612535839846
7/13/11,9.16,9.23,9.12,9.16,3.5532729E7,3.2585689E8,9.170612535839846,9.145913600720643
7/14/11,9.21,9.23,9.06,9.08,7.0896633E7,6.4841448E8,9.145913600720643,9.012156446681097
7/15/11,9.0,9.05,8.98,9.04,6.0429994E7,5.4460456E8,9.012156446681097,8.951359065902325
7/16/11,9.03,9.03,8.89,8.91,7.5535741E7,6.7614754E8,8.951359065902325,8.958037937919965
7/17/11,8.93,9.02,8.9,8.97,4.3092663E7,3.8602571E8,8.958037937919965,8.865603058019198
7/18/11,8.92,8.92,8.82,8.86,6.1950167E7,5.4922559E8,8.865603058019198,8.861167697794917
7/19/11,8.86,8.91,8.83,8.87,4.6679612E7,4.1363587E8,8.861167697794917,8.924393258523274
7/20/11,8.9,8.97,8.88,8.96,6.7549651E7,6.0283965E8,8.924393258523274,8.907700951700486
7/21/11,8.95,8.96,8.85,8.89,6.1979794E7,5.5209747E8,8.907700951700486,8.877187984150881
7/22/11,8.88,8.94,8.81,8.85,4.9757216E7,4.4170416E8,8.877187984150881,8.808395726129765
